Time,BAHADURABAD
2022-08-20 00:00:00+00:00,26.11
2022-08-21 00:00:00+00:00,51.47
2022-08-22 00:00:00+00:00,53.94
2022-08-23 00:00:00+00:00,38.47
2022-08-24 00:00:00+00:00,78.58
2022-08-25 00:00:00+00:00,128.78
2022-08-26 00:00:00+00:00,154.98
2022-08-27 00:00:00+00:00,105.38
2022-08-28 00:00:00+00:00,43.83
2022-08-29 00:00:00+00:00,26.57
2022-08-30 00:00:00+00:00,25.12
2022-08-31 00:00:00+00:00,20.05
2022-09-01 00:00:00+00:00,17.57
2022-09-02 00:00:00+00:00,15.14
2022-09-03 00:00:00+00:00,17.88
2022-09-04 00:00:00+00:00,34.19
2022-09-05 00:00:00+00:00,92.48
2022-09-06 00:00:00+00:00,202.45
2022-09-07 00:00:00+00:00,199.81
2022-09-08 00:00:00+00:00,116.1
2022-09-09 00:00:00+00:00,50.66
2022-09-10 00:00:00+00:00,32.91
2022-09-11 00:00:00+00:00,24.49
2022-09-12 00:00:00+00:00,20.62
2022-09-13 00:00:00+00:00,70.12
2022-09-14 00:00:00+00:00,104.13
2022-09-15 00:00:00+00:00,59.86
2022-09-16 00:00:00+00:00,45.93
2022-09-17 00:00:00+00:00,80.99
2022-09-18 00:00:00+00:00,133.12
2022-09-19 00:00:00+00:00,115.81
2022-09-20 00:00:00+00:00,76.79
2022-09-21 00:00:00+00:00,40.04
2022-09-22 00:00:00+00:00,28.04
2022-09-23 00:00:00+00:00,25.52
2022-09-24 00:00:00+00:00,21.99
2022-09-25 00:00:00+00:00,27.95
2022-09-26 00:00:00+00:00,39.25
2022-09-27 00:00:00+00:00,65.38
2022-09-28 00:00:00+00:00,75.1
2022-09-29 00:00:00+00:00,94.76
2022-09-30 00:00:00+00:00,121.82
2022-10-01 00:00:00+00:00,161.76
2022-10-02 00:00:00+00:00,139.4
2022-10-03 00:00:00+00:00,50.0
2022-10-04 00:00:00+00:00,33.28
2022-10-05 00:00:00+00:00,28.13
2022-10-06 00:00:00+00:00,26.01
2022-10-07 00:00:00+00:00,72.47
2022-10-08 00:00:00+00:00,90.19
2022-10-09 00:00:00+00:00,83.23
2022-10-10 00:00:00+00:00,62.06
2022-10-11 00:00:00+00:00,100.27
2022-10-12 00:00:00+00:00,182.44
2022-10-13 00:00:00+00:00,174.82
2022-10-14 00:00:00+00:00,107.29
2022-10-15 00:00:00+00:00,47.24
2022-10-16 00:00:00+00:00,31.33
2022-10-17 00:00:00+00:00,28.52
2022-10-18 00:00:00+00:00,22.39
2022-10-19 00:00:00+00:00,20.41
2022-10-20 00:00:00+00:00,17.58
2022-10-21 00:00:00+00:00,36.8
2022-10-22 00:00:00+00:00,43.65
2022-10-23 00:00:00+00:00,60.44
2022-10-24 00:00:00+00:00,119.82
2022-10-25 00:00:00+00:00,144.27
2022-10-26 00:00:00+00:00,103.76
2022-10-27 00:00:00+00:00,43.33
2022-10-28 00:00:00+00:00,26.02
2022-10-29 00:00:00+00:00,23.89
2022-10-30 00:00:00+00:00,18.79
2022-10-31 00:00:00+00:00,17.12
2022-11-01 00:00:00+00:00,19.98
2022-11-02 00:00:00+00:00,37.26
2022-11-03 00:00:00+00:00,47.76
2022-11-04 00:00:00+00:00,60.41
2022-11-05 00:00:00+00:00,111.6
2022-11-06 00:00:00+00:00,133.79
2022-11-07 00:00:00+00:00,88.0
2022-11-08 00:00:00+00:00,35.62
2022-11-09 00:00:00+00:00,20.84
2022-11-10 00:00:00+00:00,20.44
2022-11-11 00:00:00+00:00,16.22
2022-11-12 00:00:00+00:00,14.43
2022-11-13 00:00:00+00:00,17.71
2022-11-14 00:00:00+00:00,41.44
2022-11-15 00:00:00+00:00,55.69
2022-11-16 00:00:00+00:00,96.41
2022-11-17 00:00:00+00:00,116.43
2022-11-18 00:00:00+00:00,86.39
2022-11-19 00:00:00+00:00,45.79
2022-11-20 00:00:00+00:00,26.96
2022-11-21 00:00:00+00:00,18.96
2022-11-22 00:00:00+00:00,18.92
2022-11-23 00:00:00+00:00,14.48
2022-11-24 00:00:00+00:00,12.1
2022-11-25 00:00:00+00:00,9.39
2022-11-26 00:00:00+00:00,10.21
2022-11-27 00:00:00+00:00,29.69
2022-11-28 00:00:00+00:00,61.68
2022-11-29 00:00:00+00:00,95.57
2022-11-30 00:00:00+00:00,130.99
2022-12-01 00:00:00+00:00,88.51
2022-12-02 00:00:00+00:00,35.11
2022-12-03 00:00:00+00:00,19.96
2022-12-04 00:00:00+00:00,18.61
2022-12-05 00:00:00+00:00,15.17
2022-12-06 00:00:00+00:00,19.52
2022-12-07 00:00:00+00:00,53.76
2022-12-08 00:00:00+00:00,54.01
2022-12-09 00:00:00+00:00,37.25
2022-12-10 00:00:00+00:00,82.08
2022-12-11 00:00:00+00:00,127.27
2022-12-12 00:00:00+00:00,135.64
2022-12-13 00:00:00+00:00,96.38
2022-12-14 00:00:00+00:00,37.85
2022-12-15 00:00:00+00:00,21.77
2022-12-16 00:00:00+00:00,22.14
2022-12-17 00:00:00+00:00,16.97
2022-12-18 00:00:00+00:00,18.61
2022-12-19 00:00:00+00:00,33.41
2022-12-20 00:00:00+00:00,40.17
2022-12-21 00:00:00+00:00,51.11
2022-12-22 00:00:00+00:00,108.68
2022-12-23 00:00:00+00:00,181.62
2022-12-24 00:00:00+00:00,170.57
2022-12-25 00:00:00+00:00,97.37
2022-12-26 00:00:00+00:00,39.9
2022-12-27 00:00:00+00:00,24.39
2022-12-28 00:00:00+00:00,22.31
2022-12-29 00:00:00+00:00,23.36
2022-12-30 00:00:00+00:00,27.02
2022-12-31 00:00:00+00:00,42.83
2023-01-01 00:00:00+00:00,47.51
2023-01-02 00:00:00+00:00,29.36
2023-01-03 00:00:00+00:00,78.72
2023-01-04 00:00:00+00:00,185.65
2023-01-05 00:00:00+00:00,183.0
2023-01-06 00:00:00+00:00,114.09
2023-01-07 00:00:00+00:00,49.86
