Time,BAHADURABAD
2022-08-02T00:00:00.000000+0000,163.649
2022-08-03T00:00:00.000000+0000,102.812
2022-08-04T00:00:00.000000+0000,64.363
2022-08-05T00:00:00.000000+0000,45.645
2022-08-06T00:00:00.000000+0000,34.433
2022-08-07T00:00:00.000000+0000,25.504
2022-08-08T00:00:00.000000+0000,32.671
2022-08-09T00:00:00.000000+0000,32.902
2022-08-10T00:00:00.000000+0000,57.374
2022-08-11T00:00:00.000000+0000,78.340
2022-08-12T00:00:00.000000+0000,108.836
2022-08-13T00:00:00.000000+0000,164.233
2022-08-14T00:00:00.000000+0000,188.962
2022-08-15T00:00:00.000000+0000,149.726
2022-08-16T00:00:00.000000+0000,92.506
2022-08-17T00:00:00.000000+0000,57.935
2022-08-18T00:00:00.000000+0000,46.033
2022-08-19T00:00:00.000000+0000,31.510
2022-08-20T00:00:00.000000+0000,34.266
2022-08-21T00:00:00.000000+0000,59.417
2022-08-22T00:00:00.000000+0000,64.590
2022-08-23T00:00:00.000000+0000,72.377
2022-08-24T00:00:00.000000+0000,90.559
2022-08-25T00:00:00.000000+0000,119.910
2022-08-26T00:00:00.000000+0000,139.379
2022-08-27T00:00:00.000000+0000,97.948
2022-08-28T00:00:00.000000+0000,56.648
2022-08-29T00:00:00.000000+0000,41.281
2022-08-30T00:00:00.000000+0000,31.484
2022-08-31T00:00:00.000000+0000,22.785
2022-09-01T00:00:00.000000+0000,16.406
2022-09-02T00:00:00.000000+0000,12.440
2022-09-03T00:00:00.000000+0000,33.762
2022-09-04T00:00:00.000000+0000,64.441
2022-09-05T00:00:00.000000+0000,77.390
2022-09-06T00:00:00.000000+0000,163.620
2022-09-07T00:00:00.000000+0000,158.496
2022-09-08T00:00:00.000000+0000,133.820
2022-09-09T00:00:00.000000+0000,91.241
2022-09-10T00:00:00.000000+0000,56.303
2022-09-11T00:00:00.000000+0000,41.140
2022-09-12T00:00:00.000000+0000,32.050
2022-09-13T00:00:00.000000+0000,46.950
2022-09-14T00:00:00.000000+0000,57.785
2022-09-15T00:00:00.000000+0000,56.298
2022-09-16T00:00:00.000000+0000,76.859
2022-09-17T00:00:00.000000+0000,101.938
2022-09-18T00:00:00.000000+0000,108.320
2022-09-19T00:00:00.000000+0000,98.870
2022-09-20T00:00:00.000000+0000,93.931
2022-09-21T00:00:00.000000+0000,58.709
2022-09-22T00:00:00.000000+0000,39.138
2022-09-23T00:00:00.000000+0000,31.468
2022-09-24T00:00:00.000000+0000,24.734
2022-09-25T00:00:00.000000+0000,28.981
2022-09-26T00:00:00.000000+0000,38.398
2022-09-27T00:00:00.000000+0000,88.376
2022-09-28T00:00:00.000000+0000,114.041
2022-09-29T00:00:00.000000+0000,116.937
2022-09-30T00:00:00.000000+0000,123.024
2022-10-01T00:00:00.000000+0000,158.433
2022-10-02T00:00:00.000000+0000,122.451
2022-10-03T00:00:00.000000+0000,73.757
2022-10-04T00:00:00.000000+0000,49.567
2022-10-05T00:00:00.000000+0000,36.837
2022-10-06T00:00:00.000000+0000,32.032
2022-10-07T00:00:00.000000+0000,45.595
2022-10-08T00:00:00.000000+0000,60.959
2022-10-09T00:00:00.000000+0000,96.031
2022-10-10T00:00:00.000000+0000,81.924
2022-10-11T00:00:00.000000+0000,113.513
2022-10-12T00:00:00.000000+0000,150.308
2022-10-13T00:00:00.000000+0000,149.868
2022-10-14T00:00:00.000000+0000,100.905
2022-10-15T00:00:00.000000+0000,65.241
2022-10-16T00:00:00.000000+0000,44.457
2022-10-17T00:00:00.000000+0000,33.923
2022-10-18T00:00:00.000000+0000,25.550
2022-10-19T00:00:00.000000+0000,19.149
2022-10-20T00:00:00.000000+0000,25.183
2022-10-21T00:00:00.000000+0000,75.442
2022-10-22T00:00:00.000000+0000,75.149
2022-10-23T00:00:00.000000+0000,80.924
2022-10-24T00:00:00.000000+0000,120.377
2022-10-25T00:00:00.000000+0000,135.374
2022-10-26T00:00:00.000000+0000,100.087
2022-10-27T00:00:00.000000+0000,66.573
